id;i_d_check_log;in_date_time;out_date_time
1;2153;2021-07-05T16:30:42;2021-07-05T16:15:05
2;59672;2021-07-05T10:50:56;2021-07-05T10:26:44
3;42497;2021-07-05T18:48:35;2021-07-05T02:49:08
4;92175;2021-07-05T14:59:20;2021-07-05T15:05:21
5;66447;2021-07-05T23:45:32;2021-07-05T20:27:28
6;6923;2021-07-05T17:20:06;2021-07-05T18:21:49
7;51370;2021-07-05T21:48:14;2021-07-05T10:18:30
8;40944;2021-07-05T21:36:50;2021-07-05T13:48:53
9;98270;2021-07-05T03:55:34;2021-07-05T03:35:39
10;55471;2021-07-05T18:57:00;2021-07-05T08:58:06
