id;i_d_common_area;status;name
1;29747;payment Relacciones Avon;open-source
2;49369;Amigable Director;Navarra program Vietnam
3;6892;Hormigon Loan Cambridgeshire;neural Avon Interfaz
4;28167;conjunto Hormigon;e-tailers partnerships
5;58897;Sorprendente Senior;Vatu
6;61919;Account copying fritas;Dinamarca
7;28147;bluetooth Conjunto recíproca;Calle definición
8;63855;Hogar Loan Futuro;transmitter
9;5148;Andalucía;Riel Práctico Deportes
10;32404;e-business unleash compressing;sensor Seguro conglomeración
