id;i_d_property;type;description;has_house_built;property_size
1;44752;red Joyería complejidad;feed Investment withdrawal;false;5821
2;87120;Arroyo Estonia system;Investment TCP;true;47299
3;58838;GB quantifying;navigating Birr;true;19618
4;75275;Bedfordshire payment seize;Azerbayán;false;87269
5;92088;Violeta éxito Omán;Coordinador transform;false;56802
6;56815;habilidad Implementación Atún;Rojo;false;62951
7;85021;Ergonómico Raton;deposit Morado Toallas;false;77318
8;30866;Genérico Guantes hack;Agente;true;24224
9;86303;Fantástico;Peso Cambridgeshire Sabroso;true;1776
10;66131;Violeta navigating;withdrawal Andalucía;false;72520
